,ts,rh,rn,tt,bc,cs
0,1496275200,0,305,351,12748164,1
1,1496275200,1,251,410,5156320,1
2,1496275200,2,212,312,12445472,1
3,1496275200,3,1,5,21035974,1
4,1496275200,4,4,548,182388328,1
5,1496275200,5,19,19,1747840,1
6,1496275200,6,3,3,3669852,1
7,1496275200,7,1,5,1191651,1
8,1496275200,8,666,666,27493564,0
9,1496275800,2,240,278,8013768,1
10,1496275800,8,247,247,9243316,0
11,1496275800,0,328,357,10031844,1
12,1496275800,1,253,415,5332432,1
13,1496275800,9,5,87,222185420,1
14,1496275800,6,22,22,9560836,1
15,1496275800,5,4,4,245492,1
16,1496275800,4,4,481,176136404,1
17,1496276400,0,332,354,9535752,1
18,1496276400,1,255,408,5108472,1
19,1496276400,2,211,288,26314116,1
20,1496276400,5,3,3,65784,1
21,1496277000,1,262,407,5247820,1
22,1496277000,0,343,359,9204952,1
23,1496277000,2,215,311,12157232,1
24,1496277000,10,6,13,239577712,1
25,1496277000,11,5,166,223308924,1
26,1496277000,7,5,89,223308924,1
27,1496277000,5,17,17,1185592,1
28,1496277000,12,5,274,223308924,1
29,1496277600,0,329,356,9272500,1
30,1496277600,1,237,423,7898464,1
31,1496277600,5,2,2,59564,1
32,1496277600,2,219,294,9807644,1
33,1496277600,13,12,12,0,1
34,1496278200,1,157,482,15449396,1
35,1496278200,0,329,355,9875588,1
36,1496278200,2,208,311,23762548,1
37,1496278800,0,312,347,10116896,1
38,1496278800,2,214,300,12686700,1
39,1496278800,1,145,491,12408476,1
40,1496278800,14,143,852,1891131042,1
41,1496278800,15,26,371,3629385564,1
42,1496278800,16,42,1761,340545760,1
43,1496278800,17,5,23,27064760,0
44,1496278800,5,5,5,145556,1
45,1496279400,14,400,2405,4513283880,1
46,1496279400,2,218,292,11707648,1
47,1496279400,0,303,347,10943548,1
48,1496279400,1,148,481,13039904,1
49,1496279400,18,3,101,20227368,1
50,1496279400,16,24,1223,229539936,1
51,1496279400,5,24,24,14386468,1
52,1496279400,6,16,38,238370443,1
53,1496280000,0,321,342,9595072,1
54,1496280000,14,212,1024,1380123920,1
55,1496280000,2,183,333,42178504,1
56,1496280000,1,145,484,12339860,1
57,1496280000,5,20,20,571992,1
58,1496280000,16,14,669,122349112,1
59,1496280000,18,1,26,6602502,1
60,1496280600,0,337,357,9909664,1
61,1496280600,10,6,9,240925948,1
62,1496280600,2,164,371,28734460,1
63,1496280600,14,176,885,1401819176,1
64,1496280600,1,145,488,12110612,1
65,1496280600,5,18,18,1349452,1
66,1496280600,11,5,133,224657160,1
67,1496280600,7,5,84,224657160,1
68,1496280600,18,6,272,60836216,1
69,1496281200,0,339,358,7684964,1
70,1496281200,2,168,362,46369172,1
71,1496281200,1,134,490,11558080,1
72,1496281200,14,102,540,948532112,1
73,1496281200,19,1,4,2271692,1
74,1496281200,5,14,14,303036,1
75,1496281200,13,12,12,0,1
76,1496281800,0,339,359,11688752,1
77,1496281800,2,177,356,27429620,1
78,1496281800,14,10,51,94753472,1
79,1496281800,1,117,497,10326552,1
80,1496281800,5,17,17,476664,1
81,1496281800,20,188,191,10098066,0
82,1496281800,21,1,9,43869479,1
83,1496282400,20,319,320,15846228,0
84,1496282400,22,1,1,41591,1
85,1496282400,0,349,359,8206724,1
86,1496282400,2,164,360,51315532,1
87,1496282400,1,99,513,8309772,1
88,1496282400,23,27,193,483635419,1
89,1496282400,6,7,7,5570648,1
90,1496282400,5,19,19,513188,1
91,1496282400,7,3,11,1668063,1
92,1496282400,24,3,128,102778900,1
93,1496283000,0,340,356,8938028,1
94,1496283000,20,315,319,15854896,0
95,1496283000,5,46,46,2567036,1
96,1496283000,2,173,349,47061624,1
97,1496283000,1,90,513,8894760,1
98,1496283000,23,1262,1350,96504656,0
99,1496283000,6,1,7,67944560,1
100,1496283000,25,1,21,163481012,1
101,1496283600,20,317,317,16171376,0
102,1496283600,0,332,350,10018084,1
103,1496283600,2,167,359,31668084,1
104,1496283600,6,7,7,4807248,1
105,1496283600,1,154,416,4855148,1
106,1496283600,23,25,39,31601996,1
107,1496283600,5,7,7,159116,1
108,1496284200,1,138,422,2781560,1
109,1496284200,2,182,338,41304196,1
110,1496284200,10,6,23,243959508,1
111,1496284200,20,316,317,16144408,0
112,1496284200,0,227,337,36698300,1
113,1496284200,23,15,20,9224348,1
114,1496284200,5,13,13,361336,1
115,1496284200,26,1,4,418165,1
116,1496284200,7,5,90,227690720,1
117,1496284200,11,5,135,227690720,1
118,1496284200,6,18,18,10049256,1
119,1496284800,20,323,323,14771712,0
120,1496284800,0,254,332,28751812,1
121,1496284800,2,190,328,21030564,1
122,1496284800,1,167,408,3350292,1
123,1496284800,23,67,89,47181216,1
124,1496284800,13,12,12,0,1
125,1496284800,27,6,18,921772,1
126,1496285400,20,317,321,15892984,0
127,1496285400,2,182,343,41172176,1
128,1496285400,27,170,279,4368604,1
129,1496285400,1,139,421,2791856,0
130,1496285400,0,236,351,27652236,1
131,1496285400,5,7,7,272944,1
132,1496285400,23,448,513,201833596,1
133,1496285400,26,1,4,426827,1
134,1496286000,23,600,744,176280332,0
135,1496286000,10,2,2,35813120,1
136,1496286000,0,186,317,33183056,1
137,1496286000,20,316,317,14952808,0
138,1496286000,1,127,490,2567996,1
139,1496286000,2,186,324,38654528,1
140,1496286000,22,1,17,43892215,1
141,1496286000,5,1,1,25012,1
142,1496286000,6,14,30,203150355,1
143,1496286000,28,1,11,43892215,1
144,1496286000,7,1,5,1191651,1
145,1496286000,14,1,31,163600177,1
146,1496286000,8,575,578,23098928,0
147,1496286600,0,308,344,12526200,1
148,1496286600,20,322,323,13983268,0
149,1496286600,8,340,340,15359892,0
150,1496286600,2,189,333,21348832,1
151,1496286600,1,97,578,2004876,1
152,1496286600,23,34,49,18252980,1
153,1496286600,5,1,1,23284,1
154,1496286600,27,45,83,2678332,1
155,1496287200,2,180,340,41206008,1
156,1496287200,27,252,423,5512992,1
157,1496287200,0,337,358,8371132,1
158,1496287200,20,318,320,15050892,0
159,1496287200,1,100,470,2184228,0
160,1496287200,6,1,1,435476,1
161,1496287200,23,30,71,226830496,1
162,1496287200,5,3,3,55392,1
163,1496287800,20,313,317,15925844,0
164,1496287800,27,110,201,2874812,1
165,1496287800,0,334,353,8649600,1
166,1496287800,2,104,171,9710576,1
167,1496287800,1,104,459,2248804,0
168,1496287800,23,166,2541,5031300684,1
169,1496287800,7,2,22,35813120,1
170,1496287800,11,2,27,35813120,1
171,1496287800,26,1,10,426827,1
172,1496287800,5,90,90,2842500,1
173,1496288400,0,232,355,29003732,1
174,1496288400,5,553,553,22490824,1
175,1496288400,1,99,458,1960020,0
176,1496288400,20,321,321,15002360,0
177,1496288400,23,352,495,348070320,1
178,1496288400,27,202,348,6074080,1
179,1496288400,13,12,12,0,1
180,1496288400,29,1,1087,49164284,1
181,1496288400,30,134,136,6655128,1
182,1496288400,6,2,2,2160732,1
183,1496289000,5,566,566,23738908,1
184,1496289000,23,5412,5539,564297868,1
185,1496289000,30,627,629,26660324,1
186,1496289000,20,318,319,15603636,0
187,1496289000,0,119,396,67795696,1
188,1496289000,27,216,377,6732620,1
189,1496289000,1,95,472,2095068,1
190,1496289000,6,3,3,1087560,1
191,1496289000,29,1,652,26764040,1
192,1496289600,23,1256,1451,71726196,0
193,1496289600,29,3,245,9571824,0
194,1496289600,1,81,485,1793400,1
195,1496289600,20,301,301,12712704,0
196,1496289600,0,193,367,34880920,1
197,1496289600,27,39,63,741360,1
198,1496289600,31,1,1,1244120,1
199,1496289600,3,1,6,21036733,1
200,1496289600,30,54,85,62015412,1
201,1496289600,6,8,13,72542196,1
202,1496289600,21,1,13,43898924,1
203,1496290200,30,537,553,108456992,1
204,1496290200,20,293,300,14751380,0
205,1496290200,0,164,389,53297056,1
206,1496290200,1,102,508,2106440,1
207,1496290200,23,141,196,102819612,1
208,1496290200,6,11,12,14154464,1
209,1496290200,29,2,929,33664492,1
210,1496290200,27,4,14,750976,1
211,1496290800,30,541,572,88742412,1
212,1496290800,1,95,558,1878568,0
213,1496290800,0,187,381,37179328,1
214,1496290800,20,291,301,12090632,0
215,1496290800,27,137,248,3989012,1
216,1496290800,6,2,2,58064,1
217,1496290800,29,2,259,11229260,1
218,1496290800,23,50,81,92263456,1
219,1496290800,32,2,11,607200,1
220,1496291400,23,92,136,99433000,1
221,1496291400,30,574,588,99510740,1
222,1496291400,32,1,1,29760,1
223,1496291400,20,281,281,11685660,0
224,1496291400,1,93,636,1879188,1
225,1496291400,0,141,405,80354280,1
226,1496291400,25,79,242,167586912,1
227,1496291400,27,46,83,1545032,1
228,1496292000,23,19,29,22515364,1
229,1496292000,30,485,519,128588044,1
230,1496292000,25,69,274,68141796,0
231,1496292000,20,256,257,8710100,0
232,1496292000,0,282,370,27969180,1
233,1496292000,1,75,570,1507512,1
234,1496292000,13,12,12,0,1
235,1496292600,30,338,411,167642592,1
236,1496292600,0,288,375,25130044,1
237,1496292600,20,276,276,4471300,0
238,1496292600,10,8,27,279219064,1
239,1496292600,1,45,612,2424132,0
